iter	Passed	Remaining
341	4217	8114
342	4228	8099
343	4239	8084
344	4249	8068
345	4261	8054
346	4275	8044
347	4286	8031
348	4298	8017
349	4309	8004
350	4320	7988
351	4331	7973
352	4342	7959
353	4355	7948
354	4367	7934
355	4378	7921
356	4390	7907
357	4401	7892
358	4411	7876
359	4422	7863
360	4434	7849
361	4446	7836
362	4457	7822
363	4469	7808
364	4480	7795
365	4491	7780
366	4503	7767
367	4514	7752
368	4524	7737
369	4535	7722
370	4545	7707
371	4556	7691
372	4566	7676
373	4577	7662
374	4589	7648
375	4599	7633
376	4611	7620
377	4621	7605
378	4633	7591
379	4644	7577
380	4655	7564
381	4667	7550
382	4678	7537
383	4690	7523
384	4701	7509
385	4712	7495
386	4723	7481
387	4734	7468
388	4745	7453
389	4756	7439
390	4766	7424
391	4777	7409
392	4788	7396
393	4799	7381
394	4810	7368
395	4821	7354
396	4833	7341
397	4844	7327
398	4855	7313
399	4866	7299
400	4877	7285
401	4887	7271
402	4898	7256
403	4909	7243
404	4921	7230
405	4932	7216
406	4942	7201
407	4952	7186
